type,subtype,city,street,pubMillis
jam,jam_heavy_traffic,santiago,av. manuel antonio matta,1748965764000
hazard,hazard_on_road_construction,macul,av. américo vespucio,1748966491000
hazard,hazard_on_road_pot_hole,peñalolén,península,1748966352000
police,,santiago,purísima puente poniente,1748966713000
hazard,hazard_on_road_construction,providencia,av. suecia,1748963783000
jam,jam_stand_still_traffic,santiago,av. cardenal josé maría caro,1748966348000
police,,santiago,zenteno,1748965737000
hazard,hazard_on_road_traffic_light_fault,san miguel,carlos silva vildósola,1748965934000
police,,lo barnechea,los trapenses,1748967133000
police,,providencia,nueva tobalaba,1748966814000
road_closed,road_closed_event,peñalolén,av. quilín norte,1748964204000
hazard,hazard_on_road_pot_hole,la reina,mariano sánchez fontecilla,1748952789000
jam,jam_heavy_traffic,santiago,san diego,1748966012000
hazard,hazard_on_road_pot_hole,peñalolén,av. los presidentes,1748566295000
jam,jam_stand_still_traffic,providencia,av. santa maría,1748966207000
hazard,hazard_on_road_construction,recoleta,av. el salto,1748966959000
jam,jam_heavy_traffic,recoleta,loreto,1748966409000
police,police_with_mobile_camera,providencia,nueva tobalaba,1748965914000
jam,jam_stand_still_traffic,ñuñoa,general bustamante,1748966904000
jam,jam_heavy_traffic,las condes,av. américo vespucio norte,1748966567000
police,,vitacura,av. alonso de córdova,1748965867000
police,,las condes,av. vitacura,1748966770000
road_closed,road_closed_event,ñuñoa,romeo salinas,1743707681000
hazard,hazard_on_road_pot_hole,providencia,fresia,1748276433000
hazard,hazard_on_shoulder_car_stopped,san joaquín,alcalde pedro alarcón,1748965551000
jam,jam_stand_still_traffic,la reina,av. ossa,1748965504000
hazard,hazard_on_road_construction,las condes,av. cristóbal colón,1748966034000
jam,jam_stand_still_traffic,ñuñoa,av. tobalaba,1748966840000
hazard,hazard_on_road_construction,providencia,emilio vaisse,1748964483000
hazard,hazard_on_road_construction,lo barnechea,comandante malbec,1748966603000
hazard,hazard_on_shoulder_car_stopped,las condes,av. alonso de córdova,1748964323000
road_closed,road_closed_event,providencia,general bustamante,1746632243000
hazard,hazard_on_road_construction,lo barnechea,av. contraalmirante fernández vial,1748966773000
hazard,hazard_on_shoulder_car_stopped,vitacura,av. san josemaría escrivá de balaguer,1748966298000
hazard,hazard_on_road_construction,ñuñoa,av. ossa,1748964887000
road_closed,road_closed_event,santiago,fray camilo henríquez,1748966796000
hazard,hazard_on_road_pot_hole,san joaquín,corredor transporte público las industrias,1748947860000
hazard,hazard_on_road_pot_hole,peñalolén,,1748022677000
police,,las condes,av. padre hurtado sur,1748966382000
